id,cave,keywords,_details,_creator,_publisher,_publication_year,_rights,_link
Saramau_2_-_-_Fisch_frag,Saramau,"papua, kaimana, Fisch",Fisch fraglich,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3619
Tabulinetin_3_4_4_5,Tabulinetin,"papua, berau, Fisch",Fisch fraglich,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3620
Yaaser_10__-_,Ya'aser,"papua, fakfak, Fisch",Fisch fraglich,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3621
Afofor_6_25_29_17_20,Afofor,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3622
Asrota_4_20_21_7_8,Asrota,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3623
Batewa_1_1,Batewa,"papua, berau, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3624
Fafanlap_1_-_3,Fafanlap,"misool, fafanlap, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3626
Fafanlap_1_-_5,Fafanlap,"misool, fafanlap, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3627
Fafanlap_1_-_7,Fafanlap,"misool, fafanlap, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3628
Fafanlap_1_-_,Fafanlap,"misool, fafanlap, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3629
Fafanlap_2_-_2,Fafanlap,"misool, fafanlap, Fisch",Fisch unbestimmbar,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3630
